Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Gender_Encoded,Cluster
C0046,26,Female,26600.0,73,25,1,0
C0047,56,Female,47800.0,73,24,1,2
C0048,35,Female,80500.0,40,12,1,0
C0049,21,Male,37700.0,17,18,0,3
C0050,42,Male,78700.0,1,15,0,1
C0051,31,Male,55200.0,89,44,0,0
C0052,67,Female,74700.0,61,16,1,1
C0053,26,Female,54400.0,43,27,1,0
C0054,43,Female,40300.0,42,8,1,3
C0055,19,Female,82800.0,25,46,1,0
C0056,37,Male,54500.0,39,25,0,3
C0057,45,Male,53300.0,35,17,0,1
C0058,64,Female,66200.0,3,29,1,1
C0059,24,Male,68500.0,44,8,0,0
C0060,61,Male,66300.0,51,15,0,1
C0061,25,Female,23000.0,94,27,1,0
C0062,64,Male,37300.0,98,46,0,2
C0063,52,Female,36900.0,12,7,1,3
C0064,31,Male,34400.0,19,3,0,3
C0065,34,Female,32600.0,44,29,1,3
C0066,53,Female,36600.0,59,44,1,2
C0067,67,Female,56700.0,49,24,1,1
C0068,57,Female,59900.0,61,3,1,2
C0069,21,Male,50000.0,17,20,0,3
C0070,19,Female,41500.0,74,46,1,0
C0071,23,Female,75500.0,57,15,1,0
C0072,59,Female,48200.0,55,25,1,2
C0073,21,Male,68700.0,47,30,0,0
C0074,46,Female,38600.0,12,14,1,3
C0075,35,Male,58300.0,62,7,0,0
C0076,43,Female,76800.0,80,17,1,0
C0077,61,Male,10000.0,88,44,0,2
C0078,51,Male,36900.0,83,20,0,2
C0079,27,Female,61900.0,8,36,1,3
C0080,53,Male,74300.0,95,9,0,2
C0081,31,Female,54100.0,21,38,1,3
C0082,48,Female,51000.0,81,48,1,2
C0083,65,Female,82200.0,87,22,1,2
C0084,32,Male,75500.0,80,2,0,0
C0085,25,Male,32600.0,70,24,0,0
C0086,31,Female,52300.0,72,8,1,0
C0087,40,Female,57200.0,25,11,1,3
C0088,57,Male,84400.0,82,13,0,1
C0089,38,Female,67300.0,89,17,1,0
C0090,33,Female,47900.0,12,8,1,3
C0091,62,Female,54400.0,15,21,1,1
C0092,35,Male,12300.0,59,18,0,3
C0093,64,Male,69400.0,26,30,0,1
C0094,41,Male,62900.0,26,18,0,1
C0095,43,Female,74200.0,47,46,1,1
C0096,42,Female,47100.0,32,47,1,3
C0097,62,Female,52600.0,10,31,1,1
C0098,58,Male,40400.0,16,38,0,3
C0099,46,Female,27000.0,71,32,1,2
C0100,32,Female,38000.0,17,11,1,3
C0101,62,Female,13600.0,23,45,1,3
C0102,18,Female,68300.0,26,25,1,0
C0103,42,Male,10000.0,85,33,0,2
C0104,24,Male,90600.0,86,38,0,0
C0105,26,Female,14700.0,7,41,1,3
C0106,41,Male,80000.0,14,8,0,1
C0107,18,Male,31800.0,79,11,0,0
C0108,61,Female,61200.0,7,22,1,1
C0109,25,Female,35000.0,9,24,1,3
C0110,41,Male,83500.0,48,41,0,1
C0111,28,Female,50900.0,72,17,1,0
C0112,68,Male,71500.0,59,12,0,1
C0113,34,Female,51500.0,87,46,1,0
C0114,25,Male,57100.0,93,32,0,0
C0115,52,Female,62300.0,82,15,1,2
C0116,52,Male,39400.0,95,16,0,2
C0117,50,Male,24400.0,94,22,0,2
C0118,22,Male,24000.0,39,28,0,3
C0119,59,Female,51000.0,99,20,1,2
C0120,56,Male,40200.0,18,33,0,3
C0121,58,Male,10000.0,59,10,0,2
C0122,45,Female,60300.0,17,40,1,1
C0123,24,Female,25600.0,14,32,1,3
C0124,26,Male,26800.0,31,33,0,3
C0125,25,Male,49200.0,24,2,0,3
C0126,29,Female,32000.0,99,33,1,0
C0127,51,Female,52500.0,60,33,1,2
C0128,50,Female,89500.0,45,41,1,1
C0129,65,Female,42400.0,98,13,1,2
C0130,40,Female,28800.0,3,30,1,3
C0131,41,Male,53600.0,37,33,0,3
C0132,54,Female,34500.0,43,13,1,3
C0133,52,Male,50500.0,40,26,0,1
C0134,61,Male,56300.0,90,22,0,2
C0135,57,Male,49300.0,55,39,0,2
C0136,39,Female,51100.0,87,2,1,0
C0137,44,Male,53800.0,39,38,0,1
C0138,52,Male,81900.0,15,39,0,1
C0139,18,Female,44900.0,4,26,1,3
C0140,52,Male,52500.0,93,46,0,2
C0141,54,Male,67300.0,86,15,0,2
C0142,64,Female,59400.0,25,34,1,1
C0143,31,Male,42800.0,13,42,0,3
C0144,20,Male,68000.0,82,44,0,0
C0145,18,Male,32600.0,33,49,0,3
C0146,22,Female,45500.0,16,40,1,3
C0147,43,Female,34600.0,42,11,1,3
C0148,31,Female,61500.0,66,3,1,0
C0149,56,Male,73800.0,55,6,0,1
C0150,44,Male,54500.0,99,9,0,2
C0151,26,Female,51500.0,42,6,1,0
C0152,32,Male,32500.0,34,9,0,3
C0153,32,Male,35900.0,30,39,0,3
C0154,43,Female,26100.0,13,31,1,3
C0155,59,Female,10000.0,13,32,1,3
C0156,30,Male,42200.0,18,41,0,3
C0157,68,Male,44000.0,32,12,0,1
C0158,49,Male,93500.0,96,8,0,0
C0159,56,Female,81300.0,99,8,1,2
C0160,66,Female,61100.0,39,28,1,1
C0161,69,Female,91700.0,46,20,1,1
C0162,49,Female,77800.0,29,47,1,1
C0163,21,Male,10000.0,62,7,0,3
C0164,47,Female,71300.0,93,11,1,2
C0165,54,Female,64200.0,62,20,1,1
C0166,40,Female,44200.0,57,16,1,0
C0167,56,Female,21700.0,16,4,1,3
C0168,62,Female,61900.0,56,6,1,1
C0169,32,Male,10000.0,10,22,0,3
C0170,60,Male,49600.0,30,26,0,1
C0171,46,Female,37700.0,25,3,1,3
C0172,53,Male,24800.0,84,41,0,2
C0173,30,Female,73800.0,5,42,1,1
C0174,49,Female,49200.0,65,14,1,2
C0175,24,Male,53500.0,94,11,0,0
C0176,68,Male,68200.0,49,18,0,1
C0177,39,Female,49800.0,3,12,1,3
C0178,45,Female,59000.0,45,23,1,1
C0179,19,Female,66300.0,14,12,1,0
C0180,59,Male,61300.0,30,13,0,1
C0181,62,Female,55700.0,68,25,1,2
C0182,23,Female,85700.0,18,45,1,0
C0183,45,Female,74800.0,62,19,1,1
C0184,45,Male,48300.0,37,46,0,3
C0185,61,Female,31800.0,25,36,1,3
C0186,61,Female,62800.0,48,45,1,1
C0187,37,Male,54300.0,65,8,0,0
C0188,47,Female,84200.0,53,29,1,1
C0189,28,Female,69700.0,79,32,1,0
C0190,45,Male,65300.0,73,44,0,0
C0191,42,Female,50300.0,15,18,1,3
C0192,56,Male,32500.0,49,6,0,2
C0193,50,Male,46000.0,88,18,0,2
C0194,18,Female,59500.0,68,19,1,0
C0195,44,Female,15400.0,12,22,1,3
C0196,69,Female,74800.0,59,37,1,1
C0197,30,Female,91300.0,37,32,1,0
C0198,58,Male,11100.0,61,41,0,2
C0199,20,Female,22000.0,43,3,1,3
C0200,56,Male,54600.0,70,28,0,2
C0201,23,Female,38300.0,39,10,1,3
C0202,25,Female,55200.0,56,35,1,0
C0203,44,Female,48600.0,63,29,1,2
C0204,26,Male,29500.0,46,15,0,3
C0205,54,Female,75800.0,88,33,1,2
C0206,50,Female,59300.0,11,7,1,1
C0207,68,Female,38800.0,62,12,1,2
C0208,59,Female,80100.0,77,49,1,1
C0209,61,Male,39800.0,98,30,0,2
C0210,41,Female,25200.0,25,21,1,3
C0211,32,Male,53700.0,71,31,0,0
C0212,49,Male,57100.0,52,24,0,1
C0213,49,Male,60600.0,4,20,0,1
C0214,41,Male,63900.0,59,37,0,0
C0215,58,Male,60300.0,72,4,0,2
C0216,69,Male,59500.0,20,28,0,1
C0217,66,Female,38500.0,93,44,1,2
C0218,66,Male,36400.0,63,20,0,2
C0219,69,Male,64800.0,54,24,0,1
C0220,29,Male,54900.0,74,49,0,0
C0221,56,Female,66400.0,98,32,1,2
C0222,19,Female,15900.0,57,41,1,3
C0223,20,Male,40000.0,90,36,0,0
C0224,66,Female,88100.0,41,34,1,1
C0225,54,Male,61100.0,3,36,0,1
C0226,66,Male,55900.0,6,2,0,1
C0227,34,Female,64200.0,5,15,1,3
C0228,66,Male,94200.0,5,34,0,1
C0229,19,Female,90000.0,54,36,1,0
C0230,19,Female,18400.0,47,6,1,3
C0231,45,Male,25800.0,87,39,0,2
C0232,40,Male,17700.0,49,42,0,3
C0233,54,Female,35100.0,9,12,1,3
C0234,49,Male,51100.0,99,3,0,2
C0235,50,Male,54800.0,20,45,0,1
C0236,18,Male,19400.0,61,18,0,3
C0237,36,Female,12700.0,35,40,1,3
C0238,19,Female,34700.0,50,21,1,3
C0239,61,Male,68300.0,82,15,0,2
C0240,43,Female,71800.0,62,33,1,0
C0241,49,Female,84100.0,17,35,1,1
C0242,23,Female,49400.0,88,26,1,0
C0243,49,Female,66600.0,3,8,1,1
C0244,21,Female,70200.0,32,36,1,0
C0245,28,Male,40100.0,99,48,0,0
C0246,34,Male,57800.0,13,30,0,3
C0247,55,Male,63200.0,89,23,0,2
C0248,41,Female,31800.0,73,42,1,2
C0249,22,Female,82800.0,68,44,1,0
C0250,69,Male,49200.0,14,14,0,1
C0251,51,Female,51700.0,98,14,1,2
C0252,23,Male,31100.0,11,2,0,3
C0253,39,Male,34400.0,56,37,0,3
C0254,28,Male,10000.0,67,5,0,3
C0255,65,Female,51100.0,92,38,1,2
C0256,33,Female,100100.0,29,45,1,1
C0257,50,Male,29600.0,9,41,0,3
C0258,26,Male,109500.0,67,47,0,0
C0259,23,Male,78300.0,25,14,0,0
C0260,33,Male,40500.0,98,39,0,0
C0261,46,Female,50500.0,76,25,1,2
C0262,20,Female,47300.0,42,20,1,0
C0263,37,Male,84100.0,9,2,0,1
C0264,53,Male,60300.0,79,39,0,2
C0265,36,Female,73600.0,40,6,1,0
C0266,43,Female,57200.0,25,17,1,1
C0267,20,Male,47800.0,5,25,0,3
C0268,36,Male,56500.0,11,28,0,3
C0269,37,Male,41900.0,59,2,0,0
C0270,49,Female,21000.0,98,35,1,2
C0271,24,Female,66300.0,88,37,1,0
C0272,69,Female,20000.0,79,5,1,2
C0273,58,Male,44600.0,38,1,0,1
C0274,50,Male,41200.0,72,40,0,2
C0275,57,Female,62900.0,5,12,1,1
C0276,56,Female,81300.0,48,36,1,1
C0277,35,Male,74100.0,90,45,0,0
C0278,57,Female,63400.0,18,23,1,1
C0279,18,Female,37400.0,70,47,1,0
C0280,28,Male,46300.0,37,31,0,3
C0281,45,Female,43400.0,60,11,1,2
C0282,42,Male,40600.0,48,10,0,3
C0283,67,Male,42000.0,77,3,0,2
C0284,40,Male,41400.0,28,14,0,3
C0285,48,Male,40500.0,69,16,0,2
C0286,47,Male,69000.0,77,10,0,2
C0287,59,Male,28900.0,81,29,0,2
C0288,52,Male,35400.0,40,10,0,3
C0289,24,Female,18300.0,45,12,1,3
C0290,33,Male,78300.0,96,30,0,0
C0291,43,Male,34100.0,62,41,0,2
C0292,65,Female,63200.0,93,1,1,2
C0293,69,Female,59500.0,58,5,1,1
C0294,66,Female,76400.0,67,20,1,1
C0295,19,Male,45800.0,56,8,0,0
C0296,18,Female,31000.0,40,43,1,3
C0297,65,Male,18900.0,98,12,0,2
C0298,29,Male,10000.0,40,1,0,3
C0299,22,Male,53200.0,91,20,0,0
C0300,54,Male,65500.0,77,28,0,2
C0301,49,Female,59400.0,33,43,1,1
C0302,26,Female,19400.0,6,37,1,3
C0303,58,Male,70800.0,88,47,0,2
C0304,52,Male,36000.0,19,37,0,3
C0305,36,Male,31900.0,80,12,0,2
C0306,65,Female,35600.0,40,37,1,2
C0307,33,Male,51600.0,92,49,0,0
C0308,20,Male,20300.0,97,49,0,0
C0309,37,Female,49300.0,59,44,1,0
C0310,41,Female,58600.0,59,28,1,0
C0311,50,Male,72100.0,48,47,0,1
C0312,41,Female,53500.0,41,15,1,3
C0313,69,Female,23200.0,13,6,1,3
C0314,28,Male,53000.0,45,44,0,0
C0315,66,Female,28800.0,89,20,1,2
C0316,25,Male,27600.0,53,14,0,3
C0317,53,Female,22700.0,42,2,1,3
C0318,55,Male,11800.0,63,9,0,2
C0319,57,Male,38700.0,27,37,0,3
C0320,37,Male,72600.0,38,20,0,1
C0321,52,Female,95100.0,60,26,1,1
C0322,65,Male,38500.0,7,29,0,1
C0323,42,Female,71700.0,5,1,1,1
C0324,52,Male,42100.0,45,35,0,3
C0325,42,Male,17000.0,58,6,0,3
C0326,46,Female,64000.0,31,37,1,1
C0327,35,Male,54700.0,23,5,0,3
C0328,63,Male,86400.0,42,33,0,1
C0329,35,Female,19300.0,10,49,1,3
C0330,19,Male,105900.0,32,14,0,0
C0331,52,Male,81800.0,53,12,0,1
C0332,33,Male,49600.0,30,42,0,3
C0333,58,Male,44000.0,39,20,0,1
C0334,53,Female,35700.0,31,24,1,3
C0335,50,Female,52200.0,82,43,1,2
C0336,21,Male,46300.0,2,34,0,3
C0337,50,Female,60300.0,78,25,1,2
C0338,31,Male,44100.0,77,29,0,0
C0339,38,Female,78300.0,93,39,1,0
C0340,65,Male,52500.0,12,31,0,1
C0341,37,Male,44900.0,39,47,0,3
C0342,25,Male,70500.0,66,43,0,0
C0343,24,Male,17500.0,96,23,0,0
C0344,20,Male,56800.0,13,44,0,3
C0345,34,Male,50500.0,46,38,0,0
C0346,50,Female,21800.0,27,20,1,3
C0347,65,Male,15800.0,17,23,0,3
C0348,29,Female,70200.0,95,45,1,0
C0349,68,Male,69300.0,98,16,0,2
C0350,39,Female,53500.0,60,42,1,0
C0351,39,Female,84300.0,64,8,1,0
C0352,63,Female,58800.0,88,21,1,2
C0353,47,Male,75000.0,35,1,0,1
C0354,55,Male,58400.0,70,8,0,2
C0355,55,Female,44500.0,83,29,1,2
C0356,62,Male,28800.0,30,32,0,3
C0357,68,Female,37900.0,71,38,1,2
C0358,25,Male,44900.0,74,5,0,0
C0359,44,Female,77300.0,96,47,1,0
C0360,44,Female,65400.0,98,22,1,2
C0361,51,Male,56600.0,63,47,0,2
C0362,38,Female,67400.0,28,34,1,1
C0363,47,Male,60500.0,60,1,0,1
C0364,50,Female,55200.0,79,26,1,2
C0365,45,Female,20000.0,94,43,1,2
C0366,64,Male,72800.0,37,10,0,1
C0367,50,Male,40800.0,93,30,0,2
C0368,22,Male,71800.0,22,18,0,0
C0369,65,Female,73700.0,68,17,1,1
C0370,36,Male,36600.0,20,26,0,3
C0371,21,Female,69000.0,96,8,1,0
C0372,52,Female,42800.0,68,47,1,2
C0373,66,Male,42900.0,91,40,0,2
C0374,34,Male,55100.0,64,49,0,0
C0375,61,Female,55700.0,17,12,1,1
C0376,45,Female,50800.0,12,27,1,3
C0377,47,Male,23300.0,22,8,0,3
C0378,46,Male,47600.0,17,25,0,3
C0379,63,Male,95600.0,10,46,0,1
C0380,23,Male,10000.0,65,4,0,3
C0381,52,Male,67400.0,22,33,0,1
C0382,58,Female,71100.0,90,1,1,2
C0383,54,Female,22800.0,82,19,1,2
C0384,41,Female,40600.0,50,31,1,3
C0385,46,Female,30000.0,14,16,1,3
C0386,66,Male,87100.0,64,14,0,1
C0387,63,Male,72100.0,47,48,0,1
C0388,48,Male,73000.0,29,5,0,1
C0389,52,Female,52400.0,76,41,1,2
C0390,50,Female,76200.0,36,26,1,1
C0391,69,Male,49800.0,99,28,0,2
C0392,38,Male,77200.0,52,2,0,0
C0393,49,Female,47000.0,76,6,1,2
C0394,40,Female,36400.0,7,9,1,3
C0395,50,Male,86200.0,29,33,0,1
C0396,20,Male,49600.0,11,41,0,3
C0397,35,Female,32000.0,33,25,1,3
C0398,42,Male,31800.0,6,48,0,3
C0399,59,Male,31900.0,79,13,0,2
C0400,48,Male,66900.0,32,9,0,1
